mechanism,profiles,average_welfare,average_first_best,welfare_ratio,worst_case_regret,average_regret,average_abs_budget_imbalance
equal_split_first_best,65536,84.298095703125,84.298095703125,1.0,0.0,0.0,0.0
equal_split_vickrey_majority,65536,75.37857055664062,84.298095703125,0.8941906685781311,90.0,8.919525146484375,0.0
equal_split_vickrey_faltings_fair,65536,83.54965209960938,84.298095703125,0.9911214648768408,33.75,0.748443603515625,0.0
lp_demand_vickrey_coarse,65536,84.26254112937796,84.298095703125,0.9995782280317191,10.0000045,0.03555457374703697,2.35177003739262e-16
lp_demand_vickrey_fine,65536,84.22595986653131,84.298095703125,0.9991442767954364,11.2500045,0.07213583659368977,5.105541911552131e-16
lp_integrated_supply_demand,65536,84.23833749810031,84.298095703125,0.9992911084820333,1.534489477788751,0.05975820502469422,7.063236225019456e-16
