phase,calls,seconds,share_of_timed
integrated LP: model build,1,1.5914985859999433,0.0031889974877652803
integrated LP: initial solve,1,102.91455304899864,0.2062171176366694
integrated LP: IC cutting rounds,1,382.7446707730014,0.7669323769984765
integrated LP: mechanism extraction,1,0.7346766689988726,0.001472123238039278
demand LP solves (lp_demand_vickrey_raw_coarse_wtp),1,1.298541154999839,0.002601978108860512
demand LP solves (lp_demand_vickrey_raw_fine_wtp),1,4.392878216000099,0.008802318593378657
exhaustive evaluation,1,3.6300201310004923,0.00727372627291695
synthetic evaluation,1,0.032364519998736796,6.485106168275571e-05
figures,2,1.607568547999108,0.0032211979992169577
uniform-prior evaluation,1,0.11244433100000606,0.00022531260299371683
