mechanism,max_joint_deviation_gain,max_value_only_gain,max_cost_only_gain,worst_joint_deviation,max_expected_budget_error,max_conditional_budget_error,conditional_outcomes_audited,min_ex_ante_utility,ex_ante_utility_by_agent,min_expected_utility,min_conditional_utility
equal_split_first_best,22.5,7.5,22.5,"IncentiveViolation(gain=22.5, profile=(Type(value=0.0, cost=0.0), Type(value=0.0, cost=30.0), Type(value=0.0, cost=30.0), Type(value=0.0, cost=30.0)), agent=0, misreport_value=30.0, misreport_cost=30.0, truthful_utility=0.0, deviating_utility=22.5)",0.0,0.0,True,14.224965706447188,"(14.224965706447188, 14.224965706447188, 14.224965706447188, 14.224965706447188)",-7.5,-7.5
equal_split_vickrey_majority,30.0,22.5,30.0,"IncentiveViolation(gain=30.0, profile=(Type(value=0.0, cost=0.0), Type(value=0.0, cost=15.0), Type(value=0.0, cost=15.0), Type(value=30.0, cost=15.0)), agent=3, misreport_value=0.0, misreport_cost=0.0, truthful_utility=0.0, deviating_utility=30.0)",0.0,0.0,True,12.229080932784637,"(12.229080932784637, 12.229080932784637, 12.229080932784637, 12.229080932784637)",-7.5,-7.5
equal_split_vickrey_faltings_fair,24.375,16.875,24.375,"IncentiveViolation(gain=24.375, profile=(Type(value=0.0, cost=0.0), Type(value=0.0, cost=30.0), Type(value=0.0, cost=30.0), Type(value=30.0, cost=30.0)), agent=3, misreport_value=0.0, misreport_cost=0.0, truthful_utility=5.625, deviating_utility=30.0)",0.0,0.0,True,14.098079561042525,"(14.098079561042525, 14.098079561042525, 14.098079561042525, 14.098079561042525)",-7.5,-11.25
lp_demand_vickrey,22.499867812499957,22.499867812499957,7.500132187500043,"IncentiveViolation(gain=22.499867812499957, profile=(Type(value=0.0, cost=0.0), Type(value=0.0, cost=30.0), Type(value=0.0, cost=30.0), Type(value=0.0, cost=30.0)), agent=0, misreport_value=30.0, misreport_cost=0.0, truthful_utility=0.0, deviating_utility=22.499867812499957)",2.6645352591003757e-15,2.664543086195694e-15,True,14.21924986951921,"(14.219249869519219, 14.21924986951922, 14.219249869519214, 14.21924986951921)",-7.5,-10.0
lp_integrated_supply_demand,0.0,2.4658675101818517e-10,2.3023360995466646e-10,None,6.572520305776686e-14,6.572520305776686e-14,True,14.224965706447039,"(14.224965706447136, 14.224965706447072, 14.224965706447039, 14.224965706447046)",-8.75,-510.0
