profile_id,mechanism,first_best_welfare,welfare,regret,budget_imbalance
17,lp_demand_vickrey,30.0,30.0,0.0,0.0
17,lp_integrated_supply_demand,30.0,30.0,0.0,0.0
18,equal_split_first_best,0.0,0.0,0.0,0.0
18,equal_split_vickrey_majority,0.0,0.0,0.0,0.0
18,equal_split_vickrey_faltings_fair,0.0,0.0,0.0,0.0
18,lp_demand_vickrey,0.0,0.0,0.0,0.0
18,lp_integrated_supply_demand,0.0,0.0,0.0,-7.421603396319279e-27
19,equal_split_first_best,0.0,0.0,0.0,0.0
19,equal_split_vickrey_majority,0.0,0.0,0.0,0.0
19,equal_split_vickrey_faltings_fair,0.0,0.0,0.0,0.0
19,lp_demand_vickrey,0.0,0.0,0.0,0.0
19,lp_integrated_supply_demand,0.0,0.0,0.0,-1.351160958462549e-26
20,equal_split_first_best,0.0,0.0,0.0,0.0
20,equal_split_vickrey_majority,0.0,0.0,0.0,0.0
20,equal_split_vickrey_faltings_fair,0.0,0.0,0.0,0.0
20,lp_demand_vickrey,0.0,0.0,0.0,0.0
20,lp_integrated_supply_demand,0.0,0.0,0.0,-6.058451752097371e-27
21,equal_split_first_best,15.0,15.0,0.0,0.0
21,equal_split_vickrey_majority,15.0,15.0,0.0,0.0
21,equal_split_vickrey_faltings_fair,15.0,15.0,0.0,0.0
21,lp_demand_vickrey,15.0,15.0,0.0,0.0
21,lp_integrated_supply_demand,15.0,15.0,0.0,0.0
22,equal_split_first_best,15.0,15.0,0.0,0.0
22,equal_split_vickrey_majority,15.0,15.0,0.0,0.0
22,equal_split_vickrey_faltings_fair,15.0,15.0,0.0,0.0
22,lp_demand_vickrey,15.0,15.0,0.0,0.0
22,lp_integrated_supply_demand,15.0,15.0,0.0,0.0
23,equal_split_first_best,15.0,15.0,0.0,0.0
23,equal_split_vickrey_majority,15.0,15.0,0.0,0.0
23,equal_split_vickrey_faltings_fair,15.0,15.0,0.0,0.0
23,lp_demand_vickrey,15.0,15.0,0.0,0.0
23,lp_integrated_supply_demand,15.0,15.0,0.0,0.0
24,equal_split_first_best,30.0,30.0,0.0,0.0
24,equal_split_vickrey_majority,30.0,30.0,0.0,0.0
24,equal_split_vickrey_faltings_fair,30.0,30.0,0.0,0.0
24,lp_demand_vickrey,30.0,30.0,0.0,0.0
24,lp_integrated_supply_demand,30.0,30.0,0.0,0.0
25,equal_split_first_best,30.0,30.0,0.0,0.0
25,equal_split_vickrey_majority,30.0,30.0,0.0,0.0
25,equal_split_vickrey_faltings_fair,30.0,30.0,0.0,0.0
25,lp_demand_vickrey,30.0,30.0,0.0,0.0
25,lp_integrated_supply_demand,30.0,30.0,0.0,0.0
26,equal_split_first_best,30.0,30.0,0.0,0.0
26,equal_split_vickrey_majority,30.0,30.0,0.0,0.0
26,equal_split_vickrey_faltings_fair,30.0,30.0,0.0,0.0
26,lp_demand_vickrey,30.0,30.0,0.0,0.0
