profile_id,mechanism,first_best_welfare,reported_first_best_welfare,welfare,regret,rounding_regret,budget_imbalance
11,equal_split_vickrey_faltings_fair,30.0,30.0,30.0,0.0,0.0,0.0
11,lp_demand_vickrey_coarse,30.0,30.0,30.0,0.0,0.0,0.0
11,lp_demand_vickrey_fine,30.0,30.0,30.0,0.0,0.0,0.0
11,lp_integrated_supply_demand,30.0,30.0,30.0,0.0,0.0,5.2008981014271615e-23
12,equal_split_first_best,45.0,45.0,45.0,0.0,0.0,0.0
12,equal_split_vickrey_majority,45.0,45.0,45.0,0.0,0.0,0.0
12,equal_split_vickrey_faltings_fair,45.0,45.0,45.0,0.0,0.0,0.0
12,lp_demand_vickrey_coarse,45.0,45.0,45.0,0.0,0.0,0.0
12,lp_demand_vickrey_fine,45.0,45.0,45.0,0.0,0.0,0.0
12,lp_integrated_supply_demand,45.0,45.0,45.0,0.0,0.0,0.0
13,equal_split_first_best,45.0,45.0,45.0,0.0,0.0,0.0
13,equal_split_vickrey_majority,45.0,45.0,45.0,0.0,0.0,0.0
13,equal_split_vickrey_faltings_fair,45.0,45.0,45.0,0.0,0.0,0.0
13,lp_demand_vickrey_coarse,45.0,45.0,45.0,0.0,0.0,0.0
13,lp_demand_vickrey_fine,45.0,45.0,45.0,0.0,0.0,0.0
13,lp_integrated_supply_demand,45.0,45.0,45.0,0.0,0.0,0.0
14,equal_split_first_best,45.0,45.0,45.0,0.0,0.0,0.0
14,equal_split_vickrey_majority,45.0,45.0,45.0,0.0,0.0,0.0
14,equal_split_vickrey_faltings_fair,45.0,45.0,45.0,0.0,0.0,0.0
14,lp_demand_vickrey_coarse,45.0,45.0,45.0,0.0,0.0,0.0
14,lp_demand_vickrey_fine,45.0,45.0,45.0,0.0,0.0,0.0
14,lp_integrated_supply_demand,45.0,45.0,45.0,0.0,0.0,4.0389678347315804e-26
15,equal_split_first_best,45.0,45.0,45.0,0.0,0.0,0.0
15,equal_split_vickrey_majority,45.0,45.0,45.0,0.0,0.0,0.0
15,equal_split_vickrey_faltings_fair,45.0,45.0,45.0,0.0,0.0,0.0
15,lp_demand_vickrey_coarse,45.0,45.0,45.0,0.0,0.0,0.0
15,lp_demand_vickrey_fine,45.0,45.0,45.0,0.0,0.0,0.0
15,lp_integrated_supply_demand,45.0,45.0,45.0,0.0,0.0,0.0
16,equal_split_first_best,0.0,0.0,0.0,0.0,0.0,0.0
16,equal_split_vickrey_majority,0.0,0.0,0.0,0.0,0.0,0.0
16,equal_split_vickrey_faltings_fair,0.0,0.0,0.0,0.0,0.0,0.0
16,lp_demand_vickrey_coarse,0.0,0.0,0.0,0.0,0.0,0.0
16,lp_demand_vickrey_fine,0.0,0.0,0.0,0.0,0.0,0.0
16,lp_integrated_supply_demand,0.0,0.0,0.0,0.0,0.0,0.0
17,equal_split_first_best,0.0,0.0,0.0,0.0,0.0,0.0
17,equal_split_vickrey_majority,0.0,0.0,0.0,0.0,0.0,0.0
17,equal_split_vickrey_faltings_fair,0.0,0.0,0.0,0.0,0.0,0.0
17,lp_demand_vickrey_coarse,0.0,0.0,0.0,0.0,0.0,0.0
17,lp_demand_vickrey_fine,0.0,0.0,0.0,0.0,0.0,0.0
17,lp_integrated_supply_demand,0.0,0.0,-0.15749383425128582,0.15749383425128582,0.0,0.0
18,equal_split_first_best,0.0,0.0,0.0,0.0,0.0,0.0
