mechanism,profiles,average_welfare,average_household_welfare,average_first_best,welfare_ratio,household_welfare_ratio,worst_case_regret,worst_case_household_regret,average_regret,average_household_regret,average_abs_budget_imbalance
equal_split_first_best,2000,65.915695,65.915695,65.915695,1.0,1.0,0.0,7.105427357601002e-15,0.0,-3.1086244689504384e-18,9.425537607354872e-16
equal_split_vickrey_majority,2000,63.998315,63.998315,65.915695,0.9709116318958633,0.9709116318958633,60.98000000000001,60.98000000000001,1.91738,1.91738,1.60421675943212e-15
equal_split_vickrey_faltings_fair,2000,64.31843166666667,64.31843166666667,65.915695,0.9757680878077166,0.9757680878077166,36.28,36.28,1.5972633333333335,1.597263333333333,1.6809331704337182e-15
equal_split_vickrey_guo_2019_asymptotic,2000,65.52133,22.101426666666665,65.915695,0.994017130518005,0.33529839390552835,36.28,135.55,0.39436499999999997,43.81426833333334,43.41990333333334
equal_split_vickrey_guo_2019_finite_n,2000,65.52133,55.54748083333333,65.915695,0.994017130518005,0.8427049253342975,36.28,42.87666666666668,0.39436499999999997,10.368214166666668,9.97384916666667
lp_demand_vickrey_raw_coarse_wtp,2000,65.7822625475165,65.7822625475165,65.915695,0.9979757104513044,0.9979757104513044,15.569999999999999,15.569999999999999,0.1334324524835056,0.13343245248350558,1.3716840163713328e-15
lp_demand_vickrey_raw_fine_wtp,2000,65.82423423248571,65.82423423248571,65.915695,0.9986124584211046,0.9986124584211046,10.182854024357141,10.18285402435714,0.0914607675142952,0.09146076751429515,1.5335042263808773e-15
lp_integrated_supply_demand,2000,64.13714789868818,64.13714789868818,65.915695,0.9730178510396983,0.9730178510396983,14.099026137865902,14.099026137865902,1.778547101311819,1.778547101311819,6.85128987077285e-16
