mechanism,max_joint_deviation_gain,max_value_only_gain,max_cost_only_gain,worst_joint_deviation,max_expected_budget_error,max_conditional_budget_error,conditional_outcomes_audited,min_ex_ante_utility,ex_ante_utility_by_agent,min_expected_utility,min_conditional_utility
equal_split_first_best,30.0,15.0,30.0,"IncentiveViolation(gain=30.0, profile=(Type(value=0.0, cost=0.0), Type(value=0.0, cost=45.0), Type(value=0.0, cost=45.0)), agent=0, misreport_value=45.0, misreport_cost=45.0, truthful_utility=0.0, deviating_utility=30.0)",0.0,0.0,True,19.771728515625,"(19.771728515625, 19.771728515625, 19.771728515625)",-15.0,-15.0
equal_split_vickrey_majority,45.0,30.0,45.0,"IncentiveViolation(gain=45.0, profile=(Type(value=0.0, cost=0.0), Type(value=0.0, cost=15.0), Type(value=45.0, cost=15.0)), agent=2, misreport_value=0.0, misreport_cost=0.0, truthful_utility=0.0, deviating_utility=45.0)",0.0,0.0,True,18.9404296875,"(18.9404296875, 18.9404296875, 18.9404296875)",-15.0,-15.0
equal_split_vickrey_faltings_fair,35.0,20.0,35.0,"IncentiveViolation(gain=35.0, profile=(Type(value=0.0, cost=0.0), Type(value=0.0, cost=45.0), Type(value=45.0, cost=45.0)), agent=2, misreport_value=0.0, misreport_cost=0.0, truthful_utility=10.000000000000004, deviating_utility=45.0)",3.552713678800501e-15,2.6645352591003757e-15,True,18.9697265625,"(18.9697265625, 18.969726562500007, 18.969726562500014)",-15.0,-15.0
lp_demand_vickrey_coarse,30.0,30.0,15.000000000000002,"IncentiveViolation(gain=30.0, profile=(Type(value=0.0, cost=0.0), Type(value=0.0, cost=45.0), Type(value=0.0, cost=45.0)), agent=0, misreport_value=45.0, misreport_cost=0.0, truthful_utility=0.0, deviating_utility=30.0)",3.552713678800501e-15,3.552713678800501e-15,True,19.707640892847014,"(19.70764089284702, 19.70764089284704, 19.707640892847014)",-15.0,-22.5
lp_demand_vickrey_fine,27.50001300000169,27.50001300000169,17.49998699999831,"IncentiveViolation(gain=27.50001300000169, profile=(Type(value=0.0, cost=0.0), Type(value=0.0, cost=45.0), Type(value=0.0, cost=45.0)), agent=0, misreport_value=45.0, misreport_cost=0.0, truthful_utility=0.0, deviating_utility=27.50001300000169)",3.552713678800501e-15,4.737220172118873e-15,True,19.70672395300291,"(19.70672395300291, 19.706723953002925, 19.70672395300293)",-15.000000000000401,-20.833334666666197
lp_integrated_supply_demand,9.420853146480113e-07,4.647361606657796e-09,3.939348403037002e-09,"IncentiveViolation(gain=9.420853146480113e-07, profile=(Type(value=0.0, cost=30.0), Type(value=15.0, cost=45.0), Type(value=45.0, cost=0.0)), agent=2, misreport_value=15.0, misreport_cost=15.0, truthful_utility=58.4693376902041, deviating_utility=58.469338632289414)",7.105427357601002e-15,6.379702523526717e-15,True,19.450535187155044,"(19.450535187155115, 19.45053518715505, 19.450535187155044)",-14.999999999999682,-61.567697472665536
